worker	duration	condition	decision.case	opt.balanced	opt.nobad	opt.nogood	opt.obvious	opt.stakes	out.bad	out.broken	out.expected	out.fair	out.good	out.happy	out.regret	out.sense	out.unexpected	out.unfair
197	808	expected_success	main	1	3	2	4	4	1	1	4	5	4	4	2	5	1	4
187	1505	expected_success	main	1	1	1	4	2	1	1	4	5	5	5	1	5	1	1
18	2783	expected_success	main	2	4	1	4	4	1	1	5	5	5	5	1	5	1	1
109	355	expected_success	main	2	3	2	3	3	1	1	4	5	5	5	1	5	2	1
11	918	expected_success	main	5	5	1	5	5	1	1	5	5	5	5	2	5	1	1
156	1730	expected_success	main	1	1	1	5	1	1	1	5	5	5	5	1	5	1	1
54	373	expected_success	main	4	2	1	4	2	1	1	4	5	5	5	1	5	1	1
79	464	expected_success	main	2	1	2	2	2	1	1	4	5	5	5	1	5	1	1
180	437	expected_success	main	4	5	1	5	5	1	1	5	5	5	5	1	5	1	1
123	1830	expected_success	main	4	4	4	2	2	1	1	4	5	5	5	1	4	2	1
44	3650	expected_success	main	5	2	4	5	2	1	3	3	4	4	3	2	5	3	2
56	867	expected_success	main	2	2	2	5	1	1	1	4	5	5	5	1	5	2	1
77	1601	expected_success	main	4	5	1	5	1	1	5	1	5	5	5	1	3	4	1
140	1195	expected_success	main	1	2	1	5	1	1	1	4	5	5	5	1	5	1	1
89	959	expected_success	main	4	1	1	4	2	1	1	5	5	5	5	1	5	1	1
55	380	expected_success	main	4	2	4	2	2	1	2	5	4	5	4	1	4	1	1
151	466	expected_success	main	1	3	2	4	3	1	1	3	5	5	5	1	5	2	1
53	344	expected_success	main	2	1	1	4	5	1	1	5	5	5	5	1	5	1	1
142	2277	expected_success	main	5	4	1	3	1	1	1	4	5	5	5	1	4	1	1
2	215	expected_success	main	2	3	1	4	4	1	1	5	5	5	5	1	5	1	2
78	1733	expected_success	main	2	2	2	4	4	1	1	4	5	5	5	1	5	1	1
124	196	expected_success	main	2	2	1	4	4	1	1	2	5	4	5	1	4	4	1
80	236	expected_success	main	2	2	2	4	2	1		4	4	5	5	1	4	1	1
4	2762	expected_success	main	2	4	1	4	2	1	2	2	5	5	5	1	5	4	1
181	495	expected_success	main	1	1	1	4	4	1	1	4	5	5	5	1	5	2	1
161	263	expected_success	main	4	4	1	2	4	1	1	4	5	5	5	1	5	2	1
193	602	expected_success	main	3	2	1	2	3	1	1	3	5	5	5	1	5	2	1
9	2885	expected_success	main	1	2	2	5	2	1	1	4	5	5	5	1	5	1	1
137	3441	expected_success	main	4	4	2	2	4	1	1	2	5	5	5	1	5	1	1
112	526	expected_success	main	2	2	1	5	2	1	1	4	5	5	5	1	5	1	1
126	496	expected_success	main	4	4	2	2	4	1	1	2	5	5	5	1	5	1	1
131	388	expected_success	main	4	4	2	2	2	1	1	3	5	5	5	2	4	2	1
201	386	expected_success	main	2	2	1	5	3	1	1	4	5	5	5	1	5	1	1
68	1911	unexpected_failure	main	2	2	1	2	5	5	1	4	4	1	1	5	5	4	1
184	321	unexpected_failure	main	2	2	3	4	4	3	4	2	4	1	1	5	5	4	1
162	628	unexpected_failure	main	1	4	5	2	2	5	4	1	1	1	1	5	2	4	2
62	3822	unexpected_failure	main	4	4	2	2	2	5	1	2	2	1	2	5	4	2	4
23	6505	unexpected_failure	main	1	2	1	5	4	5	4	1	2	1	5	2	1	5	4
60	682	unexpected_failure	main	1	1	1	1	1	5	4	1	2	1	2	4	2	4	4
26	1112	unexpected_failure	main	4	2	2	2	2	4	2	2	4	2	2	4	4	2	2
82	2065	unexpected_failure	main	2	3	5	3	2	5	4	1	1	1	4		1	4	4
100	665	unexpected_failure	main	2	3	1	4	3	5	2	2	3	5	3	5	4	4	3
49	546	unexpected_failure	main	2	2	1	1	3	5	5	1	2	1	2	5	1	5	5
52	542	unexpected_failure	main		3	1	2	2	5	1	3	4	1	2	5	4	1	2
59	410	unexpected_failure	main	1	1	1	1	3	5	4	2	3	1	3	5	2	4	4
174	1078	unexpected_failure	main	3	2	3	3	2	5	2	2	2	1	1	5	3	4	3
144	351	unexpected_failure	main	2	4	4	3	2	5	1	4	2	1	1	4	4	3	4
135	682	unexpected_failure	main	2	4	2	2	5	4	1	1	2	1	1	5	2	5	4
110	322	unexpected_failure	main	4	5	2	2	4	5	2	1	2	1	1	5	2	4	4
